date,eto_mm,rain_mm,rain_effective_mm,irrigation_mm,ndvi,fc,kc,root_m,taw_mm,raw_mm,ks,etc_mm,dr_mm,drained_mm,filled_weather
2018-04-20,5.800000000000001,0.0,0.0,0.0,0.15,0.0,0.3,0.3,53.26,36.238104,1.0,1.7400000000000002,1.7400000000000002,0.0,False
2018-04-21,5.4,0.0,0.0,0.0,0.13364268441994984,0.0,0.3,0.3,53.26,36.365928000000004,1.0,1.62,3.3600000000000003,0.0,False
2018-04-22,5.0,0.0,0.0,0.0,0.1172853688398997,0.0,0.3,0.3,53.26,36.493752,1.0,1.5,4.86,0.0,False
2018-04-23,6.7,0.0,0.0,0.0,0.10092805325984955,0.0,0.3,0.3,53.26,36.286038,1.0,2.01,6.87,0.0,False
2018-04-24,7.5,0.0,0.0,0.0,0.10146688297390938,0.0,0.3,0.3,53.26,36.0591504,1.0,2.25,9.120000000000001,0.0,False
2018-04-25,7.0,0.0,0.0,0.0,0.10200571268796921,0.0,0.3,0.3,53.26,35.961152,1.0,2.1,11.22,0.0,False
2018-04-26,7.300000000000001,0.0,0.0,0.0,0.09616321325302124,0.0,0.3,0.3,53.26,35.86376228571429,1.0,2.19,13.41,0.0,False
2018-04-27,7.4,0.0,0.0,0.0,0.09032071381807327,0.0,0.3,0.3,53.26,35.71767771428571,1.0,2.22,15.63,0.0,False
2018-04-28,8.1,0.0,0.0,0.0,0.0844782143831253,0.0,0.3,0.3,53.26,35.47116,1.0,2.4299999999999997,18.060000000000002,0.0,False
2018-04-29,8.700000000000001,0.0,0.0,0.0,0.08685754239559174,0.0,0.3,0.3,53.26,35.13333942857143,1.0,2.6100000000000003,20.67,0.0,False
2018-04-30,7.4,0.0,0.0,0.0,0.08923687040805817,0.0,0.3,0.3,53.26,35.06942742857143,1.0,2.22,22.89,0.0,False
2018-05-01,6.7,0.0,0.0,0.0,0.0916161984205246,0.0,0.3,0.3,53.26,35.14246971428571,1.0,2.01,24.9,0.0,False
2018-05-02,5.300000000000001,0.0,0.0,0.0,0.09399552643299103,0.0,0.3,0.3,53.26,35.297684571428576,1.0,1.59,26.49,0.0,False
2018-05-03,5.5,0.0,0.0,0.0,0.09637485444545746,0.0,0.3,0.3,53.26,35.46202971428571,1.0,1.65,28.139999999999997,0.0,False
2018-05-04,6.0,0.0,0.0,0.0,0.10077865794301033,0.0,0.3,0.3,53.26,35.58985371428572,1.0,1.7999999999999998,29.939999999999998,0.0,False
2018-05-05,7.0,0.0,0.0,0.0,0.1051824614405632,0.0,0.3,0.3,53.26,35.69028685714286,1.0,2.1,32.04,0.0,False
2018-05-06,8.0,0.0,0.0,0.0,0.09747903297344844,0.0,0.3,0.3,53.26,35.75419885714286,1.0,2.4,34.44,0.0,False
2018-05-07,7.800000000000001,0.0,0.0,0.0,0.08977560450633366,0.0,0.3,0.3,53.26,35.71767771428571,1.0,2.3400000000000003,36.78,0.0,False
2018-05-08,7.6000000000000005,0.0,0.0,0.0,0.0820721760392189,0.0,0.3,0.3,53.26,35.63550514285714,0.9350622604267709,2.1319419537730377,38.91194195377304,0.0,False
2018-05-09,7.9,0.0,0.0,0.0,0.08275279030203819,0.0,0.3,0.3,53.26,35.39811771428572,0.8032780541669096,1.9037689883755757,40.81571094214861,0.0,False
2018-05-10,9.200000000000001,0.0,0.0,0.0,0.08343340456485748,0.0,0.3,0.3,53.26,35.060297142857145,0.6837633095183949,1.8871867342707702,42.70289767641938,0.0,False
2018-05-11,10.4,0.0,0.0,0.0,0.08429005742073059,0.0,0.3,0.3,53.26,34.65856457142857,0.5675423471548394,1.770732123123099,44.47362979954248,0.0,False
2018-05-12,8.6,0.0,0.0,0.0,0.0851467102766037,0.0,0.3,0.3,53.26,34.51248,0.4686683998980942,1.2091644717370829,45.68279427127956,0.0,False
2018-05-13,7.5,0.0,0.0,0.0,0.0860033631324768,0.0,0.3,0.3,53.26,34.55813142857143,0.40515768249469847,0.9116047856130716,46.594399056892634,0.0,False
2018-05-14,7.800000000000001,0.0,0.0,0.0,0.09211600571870804,0.0,0.3,0.3,53.26,34.55813142857143,0.35641363415902794,0.8340079039321254,47.42840696082476,0.0,False
2018-05-15,7.9,0.0,0.0,0.0,0.09822864830493927,0.0,0.3,0.3,53.26,34.530740571428574,0.31136271358808576,0.7379296312037633,48.16633659202852,0.0,False
2018-05-16,7.5,0.0,0.0,0.0,0.09880005816618602,0.0,0.3,0.3,53.26,34.56726171428572,0.27249423439819154,0.613112027395931,48.77944861942445,0.0,False
2018-05-17,8.6,0.0,0.0,0.0,0.09937146802743275,0.0,0.3,0.3,53.26,34.62204342857143,0.24039928215328604,0.6202301479554779,49.399678767379925,0.0,False
2018-05-18,7.800000000000001,0.0,0.0,0.0,0.0999428778886795,0.0,0.3,0.3,53.26,34.859430857142854,0.20979357772303464,0.49091697187190114,49.89059573925183,0.0,False
2018-05-19,7.5,0.0,0.0,0.0,0.10716793313622475,0.0,0.3,0.3,53.26,34.959864,0.18411908309032074,0.41426793695322167,50.30486367620505,0.0,False
2018-05-20,7.9,0.0,0.0,0.0,0.11439298838376999,0.0,0.3,0.3,53.26,34.92334285714286,0.16116003591996536,0.3819492851303179,50.68681296133537,0.0,False
